step,phase,drift_strength,target_pos_rate,accuracy,precision,recall,f1,roc_auc,avg_precision,mae,log_loss
1,before_update,0.7,0.008,0.995,0.6086956521739131,1.0,0.7567567567567568,0.9983202687569989,0.7,0.005098267409648207,0.06596833021845105
1,after_update,0.7,0.008,0.9683333333333334,0.19718309859154928,1.0,0.32941176470588235,0.9977603583426652,0.6363636363636364,0.031198751098066125,0.32858285075607735
2,before_update,1.0,0.011,0.9611111111111111,0.2159090909090909,0.95,0.35185185185185186,0.973497191011236,0.6953455964325529,0.03794509246979925,0.38204450522358374
2,after_update,1.0,0.011,0.9755555555555555,0.3064516129032258,0.95,0.4634146341463415,0.974564606741573,0.8215693726563291,0.025585160706776692,0.22545417562093828
3,before_update,1.2999999999999998,0.014000000000000002,0.9672222222222222,0.25675675675675674,0.8260869565217391,0.3917525773195876,0.9515059577695677,0.6928409532768023,0.03281635909785232,0.3548591596460829
3,after_update,1.2999999999999998,0.014000000000000002,0.9738888888888889,0.3064516129032258,0.8260869565217391,0.4470588235294118,0.9517383964179981,0.7238600287193182,0.025942962754420745,0.2532617537937782
4,before_update,1.6,0.017,0.9811111111111112,0.39622641509433965,0.9130434782608695,0.5526315789473685,0.9810134325071566,0.7660396826568959,0.018829100786986037,0.1726145730078698
4,after_update,1.6,0.017,0.8722222222222222,0.08764940239043825,0.9565217391304348,0.16058394160583941,0.9810134325071566,0.7660396826568959,0.137993280201183,0.7926280945164305
5,before_update,1.9,0.02,0.8794444444444445,0.09583333333333334,1.0,0.17490494296577946,0.9949108169606812,0.8467896354852877,0.13176950625829786,0.8401965670189285
5,after_update,1.9,0.02,0.955,0.21568627450980393,0.9565217391304348,0.352,0.99571823542365,0.9615722441809399,0.04805000392691849,0.28300865131367714
6,before_update,2.1999999999999997,0.023000000000000003,0.9444444444444444,0.18181818181818182,0.9565217391304348,0.3055555555555556,0.9849526559173987,0.8433920229967661,0.057292789390544975,0.3932378542131434
6,after_update,2.1999999999999997,0.023000000000000003,0.97,0.29333333333333333,0.9565217391304348,0.4489795918367347,0.9854909348927112,0.916586729991095,0.03104082366856016,0.19834926781949946
